Country Name,Export Value 2013-2017,Export Weight 2013-2017,Import Value 2013-2017,Import Weight 2013-2017,Balance 2013-2017,Export Value 2017-2022,Export Weight 2017-2022,Import Value 2017-2022,Import Weight 2017-2022,Balance 2017-2022,Export Value Total,Export Weight Total,Import Value Total,Import Weight Total,Balance Total
China (People's Republic of),749595397.0,223481623685.0,615806414.0,180709825220.0,133788983.0,694834074.0,206716489419.0,448225627.0,211113066738.0,246608447.0,1444429471.0,430198113104.0,1064032041.0,391822891958.0,380397430.0
United States,425847310.0,92076001704.0,333237191.0,249977007433.0,92610119.0,337241502.0,86111674805.0,224784893.0,120364459514.0,112456609.0,763088812.0,178187676509.0,558022084.0,370341466947.0,205066728.0
Viet Nam,263002631.0,48086719172.0,111983955.0,41521831938.0,151018676.0,151594319.0,33785123012.0,53642495.0,30152275204.0,97951824.0,414596950.0,81871842184.0,165626450.0,71674107142.0,248970500.0
Hong Kong,173681369.0,14577658715.0,9442251.0,596948029.0,164239118.0,157325619.0,20973454930.0,8666334.0,1160627731.0,148659285.0,331006988.0,35551113645.0,18108585.0,1757575760.0,312898403.0
Japan,144714529.0,79052414161.0,257561598.0,99127186167.0,-112847069.0,143593763.0,82648623434.0,262242818.0,124039318176.0,-118649055.0,288308292.0,161701037595.0,519804416.0,223166504343.0,-231496124.0
Taiwan,103398782.0,42678243612.0,102053478.0,9314788926.0,1345304.0,69899614.0,36182331049.0,81452402.0,8878486874.0,-11552788.0,173298396.0,78860574661.0,183505880.0,18193275800.0,-10207484.0
Singapore,68732525.0,42044199809.0,44111888.0,10755615492.0,24620637.0,85160908.0,59504955983.0,45325787.0,19645175653.0,39835121.0,153893433.0,101549155792.0,89437675.0,30400791145.0,64455758.0
India,77113168.0,39853107422.0,33303830.0,40566663546.0,43809338.0,62839698.0,34378984082.0,24832537.0,32705452368.0,38007161.0,139952866.0,74232091504.0,58136367.0,73272115914.0,81816499.0
Australia,52193023.0,40939134046.0,137881359.0,612048258101.0,-85688336.0,58038627.0,40874142881.0,91971022.0,590535150739.0,-33932395.0,110231650.0,81813276927.0,229852381.0,1202583408840.0,-119620731.0
Mexico,54570714.0,18596330613.0,34072063.0,37923580282.0,20498651.0,52118728.0,13719440177.0,17136332.0,18972671317.0,34982396.0,106689442.0,32315770790.0,51208395.0,56896251599.0,55481047.0
Philippines,49494181.0,28839532678.0,19384711.0,7984609823.0,30109470.0,45005973.0,25416826438.0,17219961.0,8119233434.0,27786012.0,94500154.0,54256359116.0,36604672.0,16103843257.0,57895482.0
Malaysia,48496336.0,32199314772.0,54083429.0,50325252086.0,-5587093.0,39483993.0,24816913609.0,47025650.0,49500036133.0,-7541657.0,87980329.0,57016228381.0,101109079.0,99825288219.0,-13128750.0
Indonesia,41562381.0,23562845770.0,54035606.0,183652247467.0,-12473225.0,45813449.0,33095197108.0,52162955.0,236413132626.0,-6349506.0,87375830.0,56658042878.0,106198561.0,420065380093.0,-18822731.0
Germany,48812155.0,4269393311.0,107083021.0,7658031272.0,-58270866.0,36625812.0,4928959890.0,100256956.0,7378602285.0,-63631144.0,85437967.0,9198353201.0,207339977.0,15036633557.0,-121902010.0
Thailand,40270165.0,22187268401.0,30988016.0,19331150274.0,9282149.0,35980980.0,20530484441.0,25197611.0,17971706627.0,10783369.0,76251145.0,42717752842.0,56185627.0,37302856901.0,20065518.0
Russian Federation,38302711.0,7933190611.0,74874805.0,225003495233.0,-36572094.0,37639452.0,8432621740.0,59153168.0,190926989700.0,-21513716.0,75942163.0,16365812351.0,134027973.0,415930484933.0,-58085810.0
Turkey,31571638.0,15544571458.0,6321484.0,1661922367.0,25250154.0,30111760.0,12392373774.0,3660791.0,1274439693.0,26450969.0,61683398.0,27936945232.0,9982275.0,2936362060.0,51701123.0
United Kingdom,28644128.0,7026576489.0,26933637.0,10812370563.0,1710491.0,32309994.0,5714296005.0,31298972.0,18460362888.0,1011022.0,60954122.0,12740872494.0,58232609.0,29272733451.0,2721513.0
Brazil,23278541.0,4276951952.0,26992976.0,82825244885.0,-3714435.0,34066997.0,4889826445.0,21686002.0,91263647008.0,12380995.0,57345538.0,9166778397.0,48678978.0,174088891893.0,8666560.0
Saudi Arabia,19140812.0,5588072050.0,130067579.0,238162665056.0,-110926767.0,37388028.0,10094412557.0,129253388.0,237620543825.0,-91865360.0,56528840.0,15682484607.0,259320967.0,475783208881.0,-202792127.0
Canada,31328535.0,6504051297.0,30835379.0,90098715601.0,493156.0,24345308.0,5818348529.0,23128138.0,75222292575.0,1217170.0,55673843.0,12322399826.0,53963517.0,165321008176.0,1710326.0
Marshall Islands,17025899.0,7490964868.0,619371.0,724595028.0,16406528.0,37597711.0,13077532013.0,438835.0,427625124.0,37158876.0,54623610.0,20568496881.0,1058206.0,1152220152.0,53565404.0
Netherlands,26685273.0,8536378587.0,34616292.0,4400204887.0,-7931019.0,23302953.0,15888184994.0,23539595.0,3737969578.0,-236642.0,49988226.0,24424563581.0,58155887.0,8138174465.0,-8167661.0
United Arab Emirates,19653473.0,5851911838.0,46782754.0,77390958706.0,-27129281.0,30284913.0,8036264266.0,59429937.0,94521998386.0,-29145024.0,49938386.0,13888176104.0,106212691.0,171912957092.0,-56274305.0
Poland,29741997.0,3534166002.0,4470978.0,714303996.0,25271019.0,16286210.0,2633417234.0,3414034.0,379950251.0,12872176.0,46028207.0,6167583236.0,7885012.0,1094254247.0,38143195.0
Italy,21218818.0,8412647568.0,35765060.0,3249123704.0,-14546242.0,17051348.0,7138970577.0,28589209.0,3753557208.0,-11537861.0,38270166.0,15551618145.0,64354269.0,7002680912.0,-26084103.0
France,19657590.0,2816912834.0,31940622.0,2489699775.0,-12283032.0,14171248.0,3077968100.0,30582977.0,3506911506.0,-16411729.0,33828838.0,5894880934.0,62523599.0,5996611281.0,-28694761.0
Slovakia,12929459.0,978410534.0,3032997.0,166979108.0,9896462.0,17948326.0,1273627305.0,1037854.0,129419245.0,16910472.0,30877785.0,2252037839.0,4070851.0,296398353.0,26806934.0
Belgium,18173536.0,7699124438.0,10924623.0,2379383513.0,7248913.0,11940588.0,5319907075.0,7194413.0,2096805599.0,4746175.0,30114124.0,13019031513.0,18119036.0,4476189112.0,11995088.0
Spain,14180582.0,5029891917.0,12082267.0,3346178234.0,2098315.0,11040852.0,3782021391.0,10777338.0,4843087252.0,263514.0,25221434.0,8811913308.0,22859605.0,8189265486.0,2361829.0
Hungary,17585280.0,1271341126.0,3413541.0,325229690.0,14171739.0,6770887.0,687898194.0,3074728.0,771487479.0,3696159.0,24356167.0,1959239320.0,6488269.0,1096717169.0,17867898.0
Liberia,11415386.0,6666928847.0,55298.0,88458323.0,11360088.0,12723975.0,4123141984.0,40254.0,133978065.0,12683721.0,24139361.0,10790070831.0,95552.0,222436388.0,24043809.0
Norway,7917873.0,1615219153.0,9371936.0,5965609561.0,-1454063.0,16176058.0,1940334743.0,12069187.0,1817993820.0,4106871.0,24093931.0,3555553896.0,21441123.0,7783603381.0,2652808.0
Czech Republic,13363589.0,1666580454.0,4780156.0,485963401.0,8583433.0,9923458.0,1539012075.0,3027922.0,384857271.0,6895536.0,23287047.0,3205592529.0,7808078.0,870820672.0,15478969.0
Iran,3136059.0,882253292.0,6250283.0,11330496497.0,-3114224.0,20111710.0,7991223964.0,25146850.0,51851172981.0,-5035140.0,23247769.0,8873477256.0,31397133.0,63181669478.0,-8149364.0
