Country Name,Export Value 2013,Import Value 2013,Export Value 2014,Import Value 2014,Export Value 2015,Import Value 2015,Export Value 2016,Import Value 2016,Export Value 2017,Import Value 2017,Export Value 2018,Import Value 2018,Export Value 2019,Import Value 2019,Export Value 2020,Import Value 2020,Export Value 2021,Import Value 2021,Export Value 2022,Import Value 2022,Export Value 2023,Import Value 2023,Export Value Total,Import Value Total
China (People's Republic of),145869498,83052877,145287701,90082226,137123934,90250275,124432941,86980135,142120000,97860114,162125055,106488592,136202533,107228736,132565445,108884645,162912974,138628127,155789389,154576314,124817682,142857338,1569247152,1206889379
United States,62052488,41511916,70284872,45283254,69832103,44024430,66462312,43215929,68609728,50749363,72719932,58868313,73343898,61878564,74115819,57492178,95901955,73213414,109765705,81784723,115696334,71272030,878785146,629294114
Viet Nam,21087582,7175193,22351690,7990325,27770750,9804831,32630457,12495154,47753839,16176992,48622098,19643385,48177749,21071557,48510572,20578589,56728532,23965707,60963680,26724717,53479535,25941782,468076484,191568232
Hong Kong,27756308,1929242,27256402,1749889,30418178,1493026,32782449,1614845,39112281,1879331,45996441,1997322,31912876,1779542,30653790,1540394,37467077,2247389,27651186,1877605,25193553,1831871,356200541,19940456
Japan,34662290,60029355,32183788,53768313,25576507,45853834,24355036,47466592,26816141,55124725,30528580,54603749,28420213,47580853,25097651,46023036,30061806,54642165,30606278,54711795,29000616,47656468,317308906,567460885
Taiwan,15699099,14632594,15077398,15689769,12004264,16653850,12220455,16403201,14898398,18072988,20783511,16738374,15666310,15717684,16465446,17837013,24285275,23485813,26198240,28274594,20178766,24370640,193477162,207876520
Singapore,22289028,10369435,23749882,11303182,15011164,7942129,12458894,6806348,11651939,8904693,11782182,7974345,12768034,6660476,9828388,8437992,14148511,10691293,20205410,10347783,18751990,11178605,172645422,100616281
India,11375792,6180172,12782490,5274668,12029587,4240565,11596286,4189284,15055543,4947847,15606221,5884707,15096302,5565259,11937316,4900726,15603258,8056034,18870071,8897104,17949602,6728362,157902468,64864728
Australia,9563090,20784616,10282512,20413019,10830635,16437806,7500743,15175870,19861647,19159711,9610425,20718640,7890566,20608238,6188528,18707121,9750478,32917963,18753026,44929397,17791354,32822955,128023004,262675336
Mexico,9727377,2300742,10846018,3268495,10891938,3464245,9720804,3695371,10932591,4407479,11458233,5090068,10927016,6159866,8241006,6355879,11290248,7888878,12654212,8577372,12221993,7630719,118911436,58839114
Philippines,8783427,3706235,10032489,3331239,8317925,3251634,7278420,3228542,10593713,3702312,12037254,3569396,8365340,3658008,7126437,3085957,9659072,3893738,12306078,5177612,9008624,4645089,103508779,41249762
Malaysia,8587757,11095821,7582611,11097901,7735293,8609437,7533347,7507773,8044985,8714718,8993879,10205684,8843499,9279940,9078150,8892564,10107328,10456180,11473480,15249061,9760076,15237142,97740405,116346221
Indonesia,11568178,13189998,11360656,12266260,7872404,8850394,6608530,8285343,8403680,9570960,8833195,11161192,7650051,8819773,6312901,7594696,8550335,10725095,10215899,15734850,9140239,12145901,96516068,118344462
Germany,7907865,19335968,7570926,21298750,6220211,20956544,6442963,18917005,8483847,19748687,9372657,20853971,8685737,19936937,9576136,20680918,11109894,21996339,10067732,23614856,10317121,23611170,95755089,230951145
Thailand,8071656,5231003,7599142,5344776,6361610,4854350,6481531,4562808,7467041,5204674,8504994,5582443,7804095,5317602,6852684,5196533,8524224,7014746,8584166,7876692,7548179,7366589,83799322,63552216
Russian Federation,11149103,11495500,10129249,15669238,4685732,11308287,4768751,8640613,6906618,12039530,7320899,17504050,7774133,14566507,6899968,10630194,9979539,17356692,6328173,14817362,6133435,8891986,82075600,142919959
Turkey,5657826,691870,6664732,655159,6249319,789555,5385010,742405,6154872,781802,5980358,1188879,5297808,1189057,5544537,1317083,7025978,1237118,7722957,1389347,8988419,1438599,70671816,11420874
United Kingdom,4727085,6193715,5782610,7446596,7390096,6127123,6288403,5212314,8121800,6319224,6358760,6809491,5514842,4168905,4467374,4370370,5962153,5809621,6340999,5775250,5958440,5147813,66912562,63380422
Canada,5202855,4717331,4916629,5442591,4623244,3983082,4884917,3942541,4717661,5042593,5743231,5753279,5567589,5758663,5463996,4414692,6714457,6369776,7839261,8538968,8434491,6194625,64108331,60158141
Saudi Arabia,8827722,37665214,8287511,36694536,9481872,19561487,5643867,15741673,5147056,19590480,3951951,26335761,3697120,21840581,3301896,15979621,3324694,24271348,4865150,41640268,5324700,32762549,61853539,292083518
Brazil,9688236,5573117,8922091,4907128,5494896,4058698,4456543,3444723,5505232,3702337,4883693,3908060,4809207,4295597,3943638,4237366,4666440,6621717,4975562,7930236,4343795,6724277,61689333,55403256
Marshall Islands,7453221,186878,8054891,63471,7494648,27969,7728391,132898,6866560,27618,2040686,148045,3443457,148303,4836728,938,3458075,292758,3246953,29326,5919899,508,60543509,1058712
Netherlands,5512228,4213728,5296459,4605487,4024075,4349307,3820901,4229489,4649290,6141584,4775167,6896946,4243113,4195815,3987035,6229994,5810858,9163078,7869100,8130459,6855567,8061948,56843793,66217835
Poland,3600729,775238,3849508,772888,2807488,696288,2912120,541374,3116364,628246,4333707,673268,5314955,771113,5639354,834172,6595822,1101692,7858159,1090734,9021926,1103577,55050132,8988590
United Arab Emirates,5737664,18122897,7211628,16194256,6076775,8614672,5869962,6941053,5388883,9557058,4588472,9287378,3469772,8991147,3653611,5692741,3974772,7318737,3966846,15492751,4432061,16422761,54370446,122635451
Italy,3125722,5383466,3473076,6260922,3531214,5824583,3163433,5424665,3757903,5695573,4493008,6302771,3773365,6449282,3221111,6650955,4597179,8005754,5134155,8356299,5015821,8330534,43285987,72684804
France,3487970,6012939,2639283,6823519,2581265,6157606,2468057,5843135,2994673,5745778,3540796,5879163,3317472,5834602,2983067,5880861,4561345,6642005,5254910,7703991,5510047,8065561,39338885,70589160
Belgium,2240758,1585905,2454703,1830528,2023313,1431280,2426491,1073241,2795324,1273459,3246213,1496229,2707100,1322555,2753090,1551780,4437677,3424156,5029457,3129903,5024979,1944251,35139105,20063287
Slovakia,4406986,186555,4298748,223881,3543447,231092,2926365,219251,2772780,177076,2719313,187508,2314662,499731,2210878,871455,2836047,664213,2848561,810089,2975721,929431,33853508,5000282
