recipient_name,usd_outstanding,Export Value Total,Import Value Total
afghanistan,0,244750896,2619864
albania,181949151,18710172,5827380
algeria,0,2201765256,4733440656
angola,1560877612,1114152320,194547040
antigua and barbuda,0,1146590,328260
argentina,0,339910944,577418016
armenia,0,9632000,12534300
azerbaijan,337145485,607871386,7229113
bangladesh,4850142205,25293416398,7538957370
belarus,0,42905844,36613164
belize,0,2728590,342836
benin,0,14896896,6330450
bhutan,0,18646470,1964520
bolivia,452650396,427593000,3119981280
bosnia and herzegovina,805952439,7524435,17569410
botswana,0,9138640,4124000
brazil,0,6168933300,5540325600
burkina faso,0,34060356,3383028
burundi,0,1692275,137668
cambodia,3621881680,24227473710,11451514150
cameroon,488878085,452559708,314310996
central african republic,0,7083934,85258
chad,0,494753,5527298
chile,0,247023000,736238090
china (people's republic of),959114698,563359727568,433273287061
colombia,710449641,8772983876,5615086566
costa rica,0,463802515,498663905
cuba,0,21731918,3451334
côte d'ivoire,57504950,465055890,30223510
democratic republic of the congo,199108397,293856650,2846165270
djibouti,0,5992690,160300
dominica,0,683408,70176
dominican republic,463470889,1581186651,635445616
ecuador,784788304,7230313965,1897632350
egypt,776755561,10681903120,3402407944
el salvador,105223,754966520,198585948
equatorial guinea,0,1585309,85340241
eritrea,0,144352,207792
eswatini,0,2391536,6947416
ethiopia,1430238647,1711167588,1108444233
fiji,0,840215552,30987616
gabon,0,12594338,322708601
gambia,0,2986402,2858034
georgia,0,102682184,21242056
ghana,1333687167,2797813164,432315992
grenada,0,463087,4104
guatemala,17408166,1459436227,656584197
guinea,0,18327246,58107660
guyana,0,5267955,286293
haiti,0,69282108,4770576
honduras,581889145,497592076,253245262
india,128940,38054494788,15632399448
indonesia,2613520006,249011455440,305328711960
iran,0,2999178624,4019309440
iraq,0,6830632380,32908491398
jamaica,0,23597352,3535992
jordan,1632385048,4834786709,502978007
kazakhstan,18361217,3189032682,4184751362
kenya,328022278,2415893080,459946776
kiribati,0,11716164,4044492
kyrgyzstan,122486724,2561489299,16504515
lebanon,0,184273056,70088544
liberia,0,1521366192,5529978
libya,0,250381920,123814320
madagascar,256300158,90865138,203203360
malawi,0,45293340,66520995
malaysia,0,26780870970,31878864554
maldives,0,7734936,500573
mali,449493801,26023584,1970304
marshall islands,0,1876848779,32820072
mauritania,0,1941382,6512801
mauritius,0,17685525,2655705
mexico,0,15220663808,7531406592
micronesia,0,6299300,314540
moldova,0,22328492,29574548
mongolia,1091178670,11171617310,1019402440
montenegro,0,1275642,14234076
morocco,0,1888102549,1044559980
mozambique,2042619612,1759403975,1231495515
myanmar,1156298978,13272344946,11271309042
namibia,0,3786766,25828034
nauru,0,711054,192312
nepal,555037324,719429004,53820171
nicaragua,1548504044,437189632,128912608
niger,0,2875371,17118197
nigeria,0,5975351800,7627778950
north macedonia,0,1802242,728936
pakistan,983702279,6557002170,2371338978
palau,0,3979080,150000
panama,83172983,2621559552,483220352
papua new guinea,1029486,180584222,859895019
paraguay,183576756,1294733454,677324046
peru,0,9337967340,22210591884
philippines,2480829374,265189491798,105681890244
rwanda,93025605,296926166,23669156
saint kitts and nevis,0,212020,1224
saint lucia,0,1014250,52575
saint vincent and the grenadines,0,301860,32751
samoa,0,22191190,805932
senegal,1155150923,976416300,470260700
serbia,0,183984387,153003732
seychelles,0,195792,59014
sierra leone,243556576,14678292,13666656
solomon islands,0,38542460,26005685
somalia,0,7501780,1635816
south africa,0,1096104750,2084527165
south sudan,0,217892,2432
sri lanka,3222401677,4323836403,1739359890
sudan,0,292476096,67742592
suriname,0,1512938,741846
tajikistan,0,110069726,4254488
tanzania,3079977206,3826582772,866389484
thailand,0,54134362012,41054731536
togo,0,581027350,30924520
tonga,0,253080,130520
tunisia,55187639,827928900,741971250
turkmenistan,0,98493220,56416
tuvalu,0,1087119,215589
uganda,221262504,285447960,130137840
ukraine,0,566287350,871667645
uruguay,0,14331288,11569256
uzbekistan,1172751068,33356046512,560051309
vanuatu,0,2098412,4825960
venezuela,0,87045088,12371684
viet nam,11772983231,1953751244216,799605800368
yemen,292072561,212272750,637044710
zambia,0,29690875,233505500
zimbabwe,0,55400200,27718644
